address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type)
"Shop 3, 17/1, Sariapur Main Road, Bellandur Gate, Sarjapur Road, Bangalore",Carlos Cake Cafe,Yes,No,3.8,81.0,"+91 8147751838
+91 7795322889",Sarjapur Road,Bakery,"Pasta, Chocolate Truffle, Burgers, Blueberry Cheesecake","Bakery, Desserts",300.0,Desserts
"Next to Trinity Woods, Near Apollo Pharmacy, Sarjapur Road, Bangalore",Cupcake Noggins,No,No,3.9,177.0,"+91 8150961619
080 69990081",Sarjapur Road,Dessert Parlor,"Cup Cake, Chocolate Decadence, Blueberry Cheesecake, Coffee","Desserts, Bakery",300.0,Desserts
"5, Rasa Jeev, Ground Floor, Sree Complex, Kaikondanhalli, Sarjapur Road, Bangalore",Hokey Pokey Ice Creams,No,No,3.9,75.0,"+91 7829397120
080 48533821",Sarjapur Road,Dessert Parlor,"Cheesecake, Rolls, Coffee, Ice Cream Roll","Ice Cream, Desserts",350.0,Desserts
"65/1A, Near Wipro Corporate Office, Kaikondrahalli, Sarjapur Road, Bangalore",Warm Oven,Yes,No,3.9,93.0,"+91 8880233233
+91 8197170008",Sarjapur Road,Bakery,"Red Velvet Cake, Chocolate Truffle","Bakery, Desserts",500.0,Desserts
"Courtyard by Marriott, Marathahalli-Sarjapur Outer Ring Road, Bellandur, Bangalore",MoMo Cafe - Courtyard by Marriott,No,Yes,4.2,271.0,"+91 9513653156
+91 9538877533",Bellandur,Casual Dining,"Pasta, Lunch Buffet, Butter Chicken, Salads, Bhuna Gosht, Salad, Sea Food","Asian, North Indian, South Indian, Momos",2000.0,Dine-out
"Fairfield by Marriott, Marathahalli - Sarjapur Outer Ring Road, Bellandur, Bangalore",Kava - Fairfield by Marriott,No,Yes,3.9,284.0,"+91 9513584683
+91 9538877533",Bellandur,Casual Dining,"Tea, Salads, Fish, Chicken Biryani, Breakfast Buffet, Salad, Noodles","North Indian, South Indian, Continental",1500.0,Dine-out
 ('Rated 5.0', 'RATED\n  Food quality is excellent and service also.Reasonable and affordable.Anything I have ordered from the menu in all my 4 visits, the food has been extremely tasty!I have always ended up licking my finger.Good ambiance too. A good dining place indeed.'), ('Rated 5.0',,," it's a paradise for foodies"""")", ('Rated 2.0', 'RATED\n  My God this place had a pathetic service, the food takes forever to come out of the kitchen, the staff disappears after taking the order. The only thing that came fast to my table was the bill.Coming to the food,, but it came in a glass. The desert came to my table 25 minutes after ordering. The Rabri was slightly sour
 ('Rated 4.0', 'RATED\n  Full marks for the ambience... I feel special on entering the restaurant..\nThe menu here is wide and has varieties..\nTheir buffet is also good... Has varities in both veg and nonveg...\nThe service is nice..\nThere is a swing seating ...where we can sit on the large swing and enjoy our meal..\nSure will like to visit again :)'), ('Rated 5.0', 'RATED\n  Was in love with the ambience ?? Staff were pretty friendly and were also helping out in ordering the best food! They had Mughal costumes too which was a plus! In the drinks menu they had dares and movie dialogues through which we could also play!\nFood- 5/5\nAmbience-10/5?????'),,, both with lovely food. We tried Mushroom Cappuccino Soup, Prawns infused in Garlic Olive Oil, Murgh Malai Chops, Tawa Lamb Chops Sizzler and Chocolate Bomb. You must try all these dishes as they have the perfect taste and are recommended by the Chef as mentioned in the menu.\n\nDont miss the live music they have every friday at 10pm, the singer is just amazing.'),, 'RATED\n  Full marks for the ambience... I feel special on entering the restaurant..\nThe menu here is wide and has varieties..\nTheir buffet is also good... Has varities in both veg and nonveg...\nThe service is nice..\nThere is a swing seating ...where we can sit on the large swing and enjoy our meal..\nSure will like to visit again :)')
 'RATED\n  Location - This place is located in RMZ Ecoworld, right next to Chillies\n\nAmbience - it resembles a Irish Pub, Wooden Tables and high stools, loud music and large TV screen to enjoy those match nights\n\nFood -\n\nAngry Bird - French fries topped with tangy tomato-chicken gravy served with a half fried egg. Honestly I like my fries crispy however this dish makes the fries soggy.\n\nRed sauce Spaghetti Pasta - perfect in every way\n\nCheese Burst Chicken - Fried chicken stuffed with Cheese. It melts in your mouth.\n\nService -\nIt was a Friday night so the place was super crowded. The service was very slow. We had to wait for atleast 30-40 mins for our order to arrive\n\nCost-\n\n3k for these three dishes and a couple of drinks'),,," lively music. We had ordered sour dough bread with three cheese fondue and draught beer. Overall a classy experience!\nAmbiance 4.5/5\nFOOD 4 /5\nService 4 /5"""")", ('Rated 5.0', 'RATED\n  Great place to hang out with friends.. Food is great, music is good & service is even better. Abhay our server was very helpful to me and my friends to select the right food.. Kudos!! Great job guys, please keep Guinness Stout for the fans! Cheers!!'),, 'RATED\n  Even though
 the service takes the experience down. Sometimes the waiters just don?t bother checking on people.'), ('Rated 5.0'," """"RATED\n  It's a late evening visit with my friend and we ordered broccoli cheese poppers .and mushroom queasadilla..both the dishes were made to perfection and piping hot ..the service was too good Mr.Gaijhang took good care of us ..overall a very satisfying experience ..will def visit chili's again .\n\nWe have visited again and the crispy broccoli Taco's was amazing ..Miss Ari took great care of us and the Chipotle rice which comes with the Taco's was just out of the world ..."""")", ('Rated 4.0',,, ('Rated 3.0', 'RATED\n  31-08-2018. Lunch Time with the Team. Chili?s make a wonderful dishes and i appreciate their cooking. Had a Lunch Combo along with a Starter. Service is average, we had to wait for quite sometime after each course. This really disappointed us. But place is awesome. Service could be better, may be it was on Friday and the place was crowded.'), ('Rated 4.0',, the service takes the experience down. Sometimes the waiters just don?t bother checking on people.')
 ('Rated 5.0', 'RATED\n  It was a totally amazing experience!!\nDrinks made our day and the food was awesome and the interior and everything is quite as expectations..\nActually come to think about it, the ambiance and theme made our weekend.\nService too was good.\nI liked the concept a lot.'), ('Rated 3.0',,, ('Rated 5.0', 'RATED\n  Went to Tipsy bull with my friend (old review) and we loved this place. We were meeting after a long time and it was a perfect hangout place. Liked the Innovative concept like a stock exchange. Drinks were good and the vegetarian food too!\nWill surely recommend a visit once.'), ('Rated 4.0', 'RATED\n  The place is really trendy and happening!\nThe ambiance is really nice to come with friends and chill! Spectacular ambiance with good food and reasonably priced alcohol!\nIf you want to have a social gathering or party then this place is the best.\nI shall come here again for sure..'), ('Rated 5.0',," """"RATED\n  Good place if you want to booze. Okayish food. Better to order snacks"
"13, 1st Floor, Above Amba Bajaj, Sarjapur Marthahalli Outer Ring Road, Bellandur, Bangalore",Mani's Dum Biryani,Yes,No,4.0,894.0,"080 43006111
+91 9606441694",Bellandur,Casual Dining,"Vegetable Biryani, Raita, Chicken Boneless Biryani, Biryani Combo, Mutton Biryani, Chicken Kebab Biryani, Fish Biryani","Biryani, Kebab",750.0,Dine-out
 ('Rated 4.0', 'RATED\n  This place is a hidden gem of the city set amid a residential area. The setup is really cute.\nService is quick and the staff is very friendly.\nFor drinks, we ordered a watermelon, ginger and rose mocktail and an orange and lemon grass mocktail. Both of them were refreshing.\nFor food,,, 'RATED\n  A lovely place with ample of outdoor, indoor as well as rooftop seating. Set up in a corner of Bellandur, precisely green glen layout - this place is a hidden gem.\nThey offer global cuisine and are an all vegetarian place! Well that makes me happy.\nThey have their own little bakery, which is wonderful.\n\nThe watermelon, Ginger and rose juice was awesome. Loved the blend.\nThe vibe of the place is very nice and calm.\n\nTalking about the food -\nI had the Aromatic Kebabs - average.\nThe Veggie Pizza - very good and loaded with cheese. Love for thin crust pizzas will never fade.\nKnow Suey - this has been my favorite for quite some time now,, the location (nestled between multiple high rise buildings over looking the open garden seating setup) was a bit discomforting. The service was extremely slow. The place is horribly understaffed. The staff was thoroughly confused and visibly overworked. They mixed up the order sequence
 ('Rated 4.0', 'RATED\n  Ambiance-4/5\nService-3/5\nFood-5/5\nWe ordered daal makhni, missi roti, chicken tikka masala,,," """"RATED\n  Skeptical I was but still we decided to try this place. Ambience is typical punjabi", bamboo and jute chairs and tables. Quick on service too. So we went for ajwain fish Tikka , masala papad, garlic butter naan," murgh patiala and lassi. I liked each and every thing we ordered except masala papad( too much of lemon juice). Murgh patiala was also awesome but I would have preferred a little less of egg and a little more of gravy. Ajwain fish was superb. Lassi was mind-blowing. Will definitely go back and try other things in the menu. And most importantly it's well worth the money... Just around 750 for all the above... So total budget friendly for amazing Punjabi food."""")",, ('Rated 4.0'
"Cessna Business Park, Sarjapur ? Marathahalli Outer Ring Road, Kadubeesanahalli, Bellandur Post, Bengaluru, Karnataka",Nook - Aloft Bengaluru Cessna Business Park,No,Yes,4.3,403.0,"+91 9663517066
+91 9686861135",Bellandur,Casual Dining,"Chicken Quesadilla, Breakfast Buffet, Cheesecake, Naan, Cocktails, Biryani, Lamb","North Indian, Continental, Asian",1800.0,Dine-out
"3, 6th Floor, Bangalore Central Mall, Bellandur, Bangalore",Chaarcoal,Yes,No,4.0,444.0,"+91 9901755559
080 64444448",Bellandur,Casual Dining,"Egg Biryani, Raita, Gulab Jamun, Chicken Biryani, Fish, Stuffed Kulcha, Chicken Lollipop",North Indian,1200.0,Dine-out
"457/32, Opposite Bangalore Central Mall, Outer Ring Road, Bellandur, Bangalore",Bathinda Dine,Yes,No,4.0,230.0,"+91 8095526000
+91 9896059300",Bellandur,Casual Dining,"Butter Chicken, Paneer Methi Malai, Lassi, Butter Naan, Sarso Da Saag, Tandoori Chicken, Gajar Ka Halwa",North Indian,950.0,Dine-out
"Ground Floor, 42 Green Glen Layout, Sarjapur - Marathalli Ring Road, Bellandur, Bangalore",Shake It Off,Yes,No,4.0,60.0,+91 7348844431,Bellandur,Beverage Shop,"Momos, Thick Shakes, Sandwiches, Veg Maggi, Burgers","Beverages, Fast Food",600.0,Dine-out
"Outer Ring Road, Opposite Sakra World Hospital, Devarabisanahalli, Bellandur, Bengaluru, Karnataka 560103",Eden Huts Restaurant,No,No,4.0,213.0,+91 9148686004,Bellandur,Casual Dining,"Roti, Chicken Kebab, Panneer Butter Masala, Ghee Rice, Butter Naan, Biryani, Jeera Rice","Chinese, North Indian",400.0,Dine-out
"55/2, Devarabisanahalli, Outer Ring Road, Bellandur, Bangalore",Dalchini,No,No,4.0,225.0,"080 42177774
+91 7338343838",Bellandur,Casual Dining,"Lassi, Buttermilk, Tandoori Chicken, Mutton Biryani, Dhania Chicken, Mutton Roganjosh, Naan",North Indian,700.0,Dine-out
"Next To Bangalore Central Bellandur, Bellandur, Bangalore",Thalassery Restaurant,Yes,No,3.4,692.0,"+91 7406117774
+91 7406127774",Bellandur,Casual Dining,"Shawarma, Appam, Chai, Tea, Thalassery Biryani, Chicken Grill, Vegetable Stew","Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kebab, Kerala",600.0,Dine-out
 ('Rated 3.0', 'RATED\n  As always this place stands up to the level which is expected. Amazing service However need to still work on some delays they cause as sometimes you get a feel they have forgotten to bring what you ordered. They need to start serving normal roll inside the restaurant and not just tawa roasted one as it becomes a hassle to take parcel and eat inside just for the taste of the original roll.'), ('Rated 1.0'," """"RATED\n  Worst experience at empire!! I had last been to the kormangala branch about 2 years ago and the veg thali had been pretty good at a very reasonable rate. After that today's experience at the Bellandur branch was just horrible!! I had ordered a paneer tikka masala whose view itself just put me off and tasted as if the morning prepared gravy was just redone with some extra masala. My friends ordered a butter chicken and chicken biryani which both tasted dismal. Unable to have the paneer dish any further",,, ('Rated 3.0'," """"RATED\n  Empire is quiet famous for its authentic taste of non-veg in city. To giving it a try I dropped down here to have lunch.\n\nThe place is located near to the Central Mall", Bellandur and is very easy to spot it out. It has a average seating area with decent ambience.\n\nI order Chilly Chicken Boneless, Hyderabadi Chicken Boneless Gravy and Kerala Paratha. Lil the items were delivered to the table very soon.\n\nChilly Chicken was not up-to the mark. It lacked the spiciness and the flavor of chilly. Though the pieces were tender and well marinated.\n\nHyderabadi Chicken was average know taste. Quantity of gravy was very large so it didn't tasted that good.\n\nKerala Paratha was really nice and well made. Loved it :)\n\nApart from food," service is quiet good and the best part is that it has Zomato gold. Hope to visit again.\n\nujjwallok.wordpress.com"""")",, after complaining they got another plate.\n\nThe food was tasteless
"3, 6th Floor, Bangalore Central Mall, Bellandur, Bangalore - 560103",Sharaab Factory,Yes,Yes,3.9,392.0,"+91 9901755559
+91 8951444448",Bellandur,Bar,"Chicken Curry, Chicken Tikka, Cocktails, Long Island Iced Tea, Draught Beer","Biryani, North Indian",1500.0,Dine-out
"35, Outer Ring Road",The Rasaganga,Yes,No,3.7,404.0,"+91 9845483535
+91 9448851909",Bellandur,Casual Dining,"Coffee, Chai, Idli, Pav Bhaji, Vada, Tea, Masala Dosa","South Indian, North Indian, Chinese, Street Food",500.0,Dine-out
"Citrus Hotels, 80/2, Sarjapur Outer Ring Road, Bellandur, Bangalore",Skylit - Citrus Hotels,No,Yes,3.6,255.0,"+91 9513267805
+91 9513267814",Bellandur,Lounge,"Chicken Curry, Mocktails, Biryani, Halwa, Beer, Pasta, Fish Tikka","North Indian, Mughlai, Mediterranean",1500.0,Dine-out
"19 Outer Ring Road, Opposite To Bangalore Central Mall, Bellandur, Bangalore",Kanti Sweets,Yes,No,4.0,152.0,"080 25741299
080 40948900",Bellandur,Sweet Shop,"Kaju Katli, Gulab Jamun, Petha","Mithai, Street Food",400.0,Dine-out
"157, Green Glen Layout, Near HDFC Bank, Bellandur, Bangalore",Health Zingo,No,No,3.8,368.0,080 40926309,Bellandur,Casual Dining,"Sattu Paratha, Pasta, Idli, Salads, Thali, Khichda, Masala Dosa","North Indian, Salad, Healthy Food",600.0,Dine-out
"Opposite Passport Office, Near Sakra Hospital, Bellandur, Bangalore",Basmati Restaurant,Yes,No,3.8,419.0,+91 8747911118,Bellandur,Casual Dining,"Paneer Tikka Biryani, Chicken Biryani, Bamboo Chicken, Chicken Kebab, Vegetable Biryani","Biryani, Andhra, North Indian, Chinese",900.0,Dine-out
"Mint Plaza, Palm Avenue, Green Glen Layout, Bellandur, Bangalore",The Salad Studio,Yes,No,4.0,107.0,080 45128772,Bellandur,Cafe,"Salads, Salad, Sandwiches, Chicken Grill","Cafe, Healthy Food, Salad",400.0,Dine-out
"164, Ground Floor, Green Glen Layout, Bellandur, Bangalore",Sichuan,Yes,No,4.1,268.0,080 49653082,Bellandur,Casual Dining,"Singapore Noodles, Fish, Clear Soup, Manchow Soup, Lemongrass Tea, Nasi Goreng, Pad Thai","Chinese, Asian, Seafood",800.0,Dine-out
"#72/1, GVR Plaza, Opposite Central Mall, Bellandur Outer Ring Road, Bellandur, Bangalore",Gusto's Pizza,Yes,No,3.0,289.0,"+91 8861278614
+91 8861278615",Bellandur,Casual Dining,"Pasta, Salads, Cheesy Garlic Bread, Mint Mojito, Chicken Salad, Veg Extravaganza Pizza, Pane Pizza","Pizza, Italian",500.0,Dine-out
"56, Kariyammana Agrahara Road, Near Sakra Hospital, Bellandur, Bangalore",Blue Berry Restaurant,Yes,No,3.9,146.0,+91 7349777888,Bellandur,Casual Dining,"Tandoori Chicken, Coffee, Butter Chicken, Fish Curry, Biryani","North Indian, Biryani, Chinese, Beverages",650.0,Dine-out
"207, Green Glen Layout, Opposite M.K. Ahmed Super Market, Bellandur, Bangalore",Murli,Yes,No,3.9,1233.0,"+91 8880873873
+91 9880323334",Bellandur,Casual Dining,"Chole Bhature, Chaat, Paneer Tikka, Jalebi, Samosa Chat, Rasmalai, Rabri","North Indian, Chinese, Street Food, Fast Food, Mithai",500.0,Dine-out
"Bhagini Icon Premeir Hotel, 57/1A Outer Ring Road, Opposite Sakra World Hospital, Devarabisanahalli, Bellandur, Bangalore",Flavors of India,Yes,Yes,3.7,37.0,"080 46332222
+91 9513397323",Bellandur,Casual Dining,"Salads, Fish","Chinese, North Indian, Salad, Fast Food",1500.0,Dine-out
"Pritech Tech Park Food Court, Ground Floor, Ecospace Tech Park, Bellandur, Bangalore",Cooking Mom,Yes,No,2.9,182.0,"+91 9108761177
+91 9108811177",Bellandur,Casual Dining,"Fish Chilli, Kadhai Paneer, Vegetable Biryani, Chicken Kebab, Veg Thali, Chicken Butter Masala, Butter Naan","North Indian, Andhra",800.0,Dine-out
"Courtyard & Fairfield by Marriott, Outer Ring Road, Bellandur, Bangalore",BG's Poolside Bar & Grill,No,Yes,4.1,106.0,"+91 9513584681
+91 9538877533",Bellandur,"Casual Dining, Bar","Cocktails, Pasta, Sunday Brunch, Red Wine Sangria, Shotgun Chicken, New Zealand Lamb Chops, Beer","Mediterranean, Italian, Mexican",1600.0,Dine-out
"24-26, 414/80/2, Varthur Hobli, Outer Ring Road",Glassy,No,Yes,4.2,707.0,080 49653500,Bellandur,Club,"Cocktails, Mocktails, Chicken Chatpata, Beer, Chilli Chicken, Fish Tikka, Masala Peanuts","North Indian, Chinese",1400.0,Dine-out
"2nd Floor, Sai Durga Enclave, 833/1, Outer Ring Road, Bellandur, Bangalore",Manchow,Yes,Yes,3.8,157.0,080 49652861,Bellandur,Casual Dining,"Veg Manchow Soup, Garlic Butter Noodle, Chop Suey, Chicken Dim Sum","Chinese, Asian, Momos",600.0,Dine-out
 ('Rated 2.0', 'RATED\n  I have visited this restaurant 2-3 times. Good for low cost dinner. Can not say food quality is very high but cost wise it is okey type. So, rating 2 is from my side.'), ('Rated 1.5',,, ('Rated 3.0', 'RATED\n  Ordered delivery and good lord it was spicy. The biryani was very tasty though. As for the taste, it was average and the excessive spiciness sort of ruins the flavor. Reasonably priced though.'), ('Rated 3.0', 'RATED\n  Good place to have a reasonably priced meal with friends.. Nothing extravagant...the chicken biriyani is worth a try. Try the variety of stuffed kulchas if you are roti inclined...'),, 'RATED\n  I have visited this restaurant 2-3 times. Good for low cost dinner. Can not say food quality is very high but cost wise it is okey type. So
"17/1, Bellandur Gate, Sarjapur Road, Bellandur, Bangalore",Moriz Restaurant,Yes,No,2.6,74.0,"080 43741146
080 43741147",Bellandur,Casual Dining,"Shawarma, Pepper Chicken","Arabian, North Indian, Seafood, Chinese, Biryani",800.0,Dine-out
"Ground Floor, 2,3,4,5, Anusuya Lingareddy Building, Next to Apollo Hospital, Outer Ring Road, Bellandur, Bangalore",Unico,Yes,No,3.7,66.0,+91 9110425746,Bellandur,Casual Dining,"Orange Juice, Garlic Naan","North Indian, Biryani, Chinese",550.0,Dine-out
"35, Outer Ring Road, Near Munrshwara Temple",Azura Restaurant,Yes,No,2.8,95.0,"080 41539393
+91 8050014646",Bellandur,Casual Dining,"Egg Biryani, Dum Biryani, Naan","North Indian, Mughlai, Chinese, Arabian, Kerala",500.0,Dine-out
"Citrus Hotels, 80/2, Marthalli, Sarjapur Outer Ring Road",BISO - Citrus Hotels,No,No,3.0,120.0,"+91 7760995522
+91 7760338899",Bellandur,Casual Dining,"Salads, Gulab Jamun, Pasta, Fish, Rasgulla, Coffee, Lunch Buffet","North Indian, Italian, Chinese, Asian",1000.0,Dine-out
"73/5, 2nd Cross, Bellandur, Bangalore",Aapni Rasoi,Yes,No,3.2,127.0,"+91 7829900050
+91 7829900051",Bellandur,Quick Bites,"Dal Tadka, Matar Methi Malai, Malai Kofta, Jeera Rice, Roti",North Indian,400.0,Dine-out
 ('Rated 2.0'," """"RATED\n  Both me and my friend hadn't had our lunch and were very hungry.\nThe time however"," was 05:40pm and almost all restaurants would not have been opened by that time. So we stopped at the restaurant that served us food at that time.\n\nWe ordered Mushroom Biriyani and Veg Biriyani alongwith babycorn manchurian.\nThe taste of dishes were good.\n\nHowever in the evening both me and my friend developed pain in the stomach and gas as well. So I'm not really sure about the food quality. I do eat lots of Biriyanis by the way. But still this biriyani might have made us a bit sick.\n\nPlus the ambiance wasn't that great. Need better maintenance."""")", ('Rated 1.0',,, ('Rated 1.0'," """"RATED\n  Pathetic Restaurant", Please do not visit self or with friends/family, restaurant is open upto 11 is what they mentioned ya applied only if you go in a huge group, I went with one of my friend at 10pm today after taking the entire order and confirming availability we were made to wait for 15 minutes and then told food is over,, ('Rated 3.5'
 ('Rated 1.0', 'RATED\n  worst food,  and will never ever order from them again.\n\nwe ordered the ajwain fish, it was so bad and bitter and we have never had such bad fish ever before any where and it was not fresh,,," """"RATED\n  This is quite unlike the other Bhagini's around this area. They don't serve Andhra meals any more. I was informed it was after a change of management", and they didn't even have andhra style chilli chicken. Slightly disappointed we ordered the Chinese version of Chilli Chicken, mutton Biriyani - we were told this is a specialty item of this place, dal makhani and naan. The service was quick. The chicken was quite spicy and tasted okay types. The Biriyani was definitely quite nice, the mutton being absolutely tender and the rice suitably aromatic and flavorsome. The Dal Makhani wasn't too authentic but good enough with the fresh naan. The bill for 3 came up to about 950 rupees. Decent place in the area,, fast and efficient. Food is a bit spicy just the way Andhra food should be.')
"Salarpuria Softzone, Outer Ring Road",Cafe Coffee Day,Yes,No,3.1,48.0,080 32528016,Bellandur,Cafe,Hot Coffee,"Cafe, Fast Food",900.0,Dine-out
"1st Floor, RMZ Ecospace, Outer Ring Road, Bellandur, Bangalore",Chef's Gallery,No,No,3.5,95.0,+91 9972432211,Bellandur,Casual Dining,"Pasta, Lunch Buffet, Pizza, Noodles, Draught Beer","Chinese, Italian, North Indian",700.0,Dine-out
"Campus 4AB, Food Court, RMZ Ecoworld, Varthur, Bellandur",Chicken Man,Yes,No,3.7,48.0,+91 7348940008,Bellandur,Kiosk,"Burgers, Wings","Roast Chicken, Burger",400.0,Dine-out
"Pritech park, Lower Ground Floor, Food Court, RMZ Ecospace, Bellandur, Bangalore",The Brewing Bean,No,No,3.7,47.0,"+91 9886646411
+91 9611163333",Bellandur,Cafe,"Coffee, Pasta, Fish",Cafe,500.0,Dine-out
"GMR Complex, Ground Floor, Opposite Bangalore Central, Outer Ring Road",Mast Kalandar,No,No,2.1,337.0,080 40901100,Bellandur,Casual Dining,"Khichda, Gaon Ki Thali, Buttermilk, Dal Makhani, Paratha, Shikanji, Paneer Bhurji",North Indian,450.0,Dine-out
 place lacked crowd and was silent with bolly music playing in background.\n\nAmbiance: (4/5) Nice clean place, offering seating in open garden and also in A/C hall. Nice music in garden area and TV in hall.\n\nFood: (3.5/5 )Priced at average of 250/- per main dish, quality was better than good, Murg Patiala is worth a try. Dal Maharaja is Ok .\n\nService: (5/5) Service is superb. Crew is courteous .\n\nWorth visiting again.'),,,'), ('Rated 4.5', 'RATED\n  Good, affordable buffet with great taste! :)'), ('Rated 4.0',, the buffet cost is just two night nine.  \nWant to visit again!')
"218/738, Green Glen Layout, Varthur Hobli",Spice Garden by Dum Mast Biryani,No,No,3.2,59.0,080 41509073,Bellandur,Casual Dining,"Biryani, Paneer Pasanda","North Indian, South Indian, Biryani, Continental",550.0,Dine-out
 the road outside is dusty. If you can forget all that," you definitely will enjoy the food.\nI would certainly go back for more..."""")", ('Rated 5.0'," """"RATED\n  Really good food and its a must try if you are near ORR",,, 'RATED\n  This place has awesome Italian food, more than what I had expected :) ..!!! Pizzas and Pastas are just awesome here. And prices are very nominal and the dishes are worth it. I was contented after eating here. I had the best experience. I would encourage everyone to eat atleast once in this place.'), ('Rated 4.5'," """"RATED\n  Small place", good smooth food. Don't judge by the looks,, ordered multiple starters
"Ground Floor, Bangalore Central, Bellandur, Bangalore",Pizza Hut,No,No,3.6,542.0,"080 39883988
080 49029599",Bellandur,Casual Dining,"Pizza Crispy Crunch, Garlic Bread, Paneer Pizza, Pasta, Pane Pizza","Pizza, Fast Food",750.0,Dine-out
"Aloft Bengaluru Cessna Business Park, Cessna Business Park, Sarjapur-Marathahalli Outer Ring Road, Kadubeesanahalli, Bellandur Post, Bellandur, Bangalore",W XYZ Bar - Aloft Bengaluru Cessna Business Park,No,No,3.8,46.0,+91 8045101033,Bellandur,"Lounge, Casual Dining",Cocktails,"Finger Food, North Indian",2000.0,Dine-out
"74/2, Outer Ring Road, Appolo Clinic, Bellandur Junction",Punjabi Tadka,No,No,2.6,270.0,+91 9740815499,Bellandur,Casual Dining,"Roti, Paratha, Jeera Rice, Panneer Butter Masala, Sweet Lassi, Tandoori Chicken, Tawa Chicken","North Indian, Chinese",400.0,Dine-out
"482/57, Hema Reddy Complex, Bellandur Main Road, Diagonally Opp to Village Super Market, Bangalore",Al Khansah,Yes,No,3.9,370.0,080 48667452,Bellandur,Casual Dining,"Chicken Tikka Masala, Chicken Biryani, Mutton Biryani, Chicken Curry, Gajar Ka Halwa, Malai Kebab, Gulab Jamun","Biryani, Mughlai, Chinese, North Indian, Kebab",550.0,Dine-out
"35, 1st Cross, Outer Ring Road, Bellandur, Bangalore",Cafe Thulp,Yes,Yes,4.0,341.0,080 41129702,Bellandur,Cafe,"Burgers, Fries, Beef Burger, Pasta, Salad, Mudpie, Falafel Burger","Cafe, Burger, Italian, Salad",1000.0,Dine-out
"163, Shreyas Arcade, Opposite Apollo Pharmacy, Green Glen Layout, Bellandur, Bangalore",Meghana Biryani,Yes,No,2.3,235.0,"+91 9980820099
+91 9980840099",Bellandur,Casual Dining,"Paneer Biryani, Vegetable Biryani, Chicken Boneless Biryani",North Indian,800.0,Dine-out
"163, Shreyas Arcade, Green Glen Layout, Bellandur, Bangalore",Shree Khana Khazana,Yes,No,4.2,166.0,"+91 9740400578
+91 9509663740",Bellandur,Quick Bites,"Thali, Lassi, Dal Bati Churma, Paratha, Buttermilk, Paneer Malai Kofta, Dal Tadka","North Indian, Chinese",450.0,Dine-out
"74/8, Ground Floor, GMR Complex, Outer Ring Road, Bellandur, Bangalore",Udupi Aatithya,Yes,No,4.0,77.0,080 49653414,Bellandur,Quick Bites,"Filter Coffee, Vada, Biryani, Masala Dosa","South Indian, North Indian, Chinese",300.0,Dine-out
"5/1 SLN Building, Doddakanelli-Kaadubeesanahalli Road, Near Prestige Trinity Center, Bellandur, Bangalore",Punjabi Nukkad Pure Veg,Yes,No,3.5,378.0,+91 8095371313,Bellandur,Quick Bites,"Lassi, Paratha, Chur Chur Naan, Raita, Chana Masala, Kheer, Buttermilk","North Indian, Chinese, Juices",500.0,Dine-out
"18/1, HMR Complex, Near Ganesh Temple, Bellandur, Bangalore",Phulke Ghar Ke,Yes,No,4.0,532.0,+91 7411489137,Bellandur,Quick Bites,"Lassi, Thali, Paratha, Rajma, Malai Kofta, Buttermilk, Phulke Ghar Ke","North Indian, Chinese",300.0,Dine-out
"26/2, Outer Ring Road, Near Ecospace IT Park, Bellandur, Bangalore",Biryani Kitchen,Yes,No,3.9,214.0,+91 9739969000,Bellandur,Quick Bites,"Hyderabadi Biryani, Paneer Biryani",Biryani,400.0,Dine-out
"Near Ganesh Temple, Bellandur, Bangalore",Laddoos,Yes,No,2.9,163.0,080 42192763,Bellandur,"Quick Bites, Sweet Shop","Paratha, Samosa, Chole Bhature, Pav Bhaji, Kachori, Vada Pav","North Indian, Street Food, Mithai",250.0,Dine-out
"18 17/1, 2nd Floor, Ambalipura Sarjapur Main Road, Bellandur Gate, Bellandur, Bangalore",Cake Town Cafe,Yes,No,3.9,75.0,080 49652472,Bellandur,"Bakery, Dessert Parlor",Chocolate Cake,"Bakery, Desserts",500.0,Dine-out
"74/2, Outer Ring Road, Bellandur Junction, Bellandur, Bangalore",Chef Baker's,Yes,No,3.6,136.0,"+91 7406066617
00 888040444",Bellandur,"Bakery, Quick Bites","Pasta, Apple Pie, Sandwich, Chocolate Cake, Burgers, Hot Chocolate, Donut","Bakery, Fast Food, Pizza, Burger, Cafe",600.0,Dine-out
"96/7, Opposite Sobha Dahlia, Green Glen Layout, Bellandur, Bangalore",Just Delhiwala,Yes,No,3.8,80.0,"+91 7022732056
+91 8971428572",Bellandur,Quick Bites,"Chole, Lassi, Paratha",North Indian,300.0,Dine-out
 ('Rated 3.0', 'RATED\n  biryani was good, but tandoori was watery'), ('Rated 1.0',,, 'RATED\n  optional only'), ('Rated 1.0', 'RATED\n  disgusting food'), ('Rated 2.0', 'RATED\n  taste was not good specially for saal,, but tandoori was watery')
"Opposite Eco Space, Outer Ring Road, Bellandur, Bangalore",Kairali Restaurant,Yes,No,3.9,94.0,"+91 7411616233
+91 9900603601",Bellandur,Quick Bites,"Beef Fry, Beef Biryani, Fish Curry, Appam, Karimeen Fry",Kerala,200.0,Dine-out
